#Columns,20,,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,00691_DIC_mg_per_L_as_C,71846_NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,0945_SO4_mg_per_L_as_SO4,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,00530_TSS_mg_per_L,FTICR-MS,Methods_Deviation
Unit,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A,N/A
Unit_Basis,N/A,N/A,as_Carbon,as_Ammonium,N/A,N/A,N/A,N/A,N/A,N/A,as_Nitrate,as_Nitrite,as_Phosphate,N/A,N/A,as_Sulfate,as_Carbon,as_Nitrogen,as_mg_solids_per_L_water,N/A,N/A
MethodID_Inspection,N/A,N/A,DIC_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,NPOC_T_IN_005,TN_T_IN_005,TSS_T_IN_000,ICR_T_IN_003,N/A
MethodID_Storage,N/A,N/A,DIC_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,NPOC_T_ST_005,TN_T_ST_005,TSS_T_ST_000,ICR_T_ST_003,N/A
MethodID_Preservation,N/A,N/A,DIC_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,NPOC_T_PRES_005,TN_T_PRES_005,TSS_T_PRES_000,ICR_T_PRES_003,N/A
MethodID_Preparation,N/A,N/A,DIC_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,NPOC_T_PREP_005,TN_T_PREP_005,TSS_T_PREP_000,ICR_T_PREP_003,N/A
MethodID_Analysis,N/A,N/A,DIC_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,NPOC_T_AN_005,TN_T_AN_005,TSS_T_AN_000,ICR_T_AN_003,N/A
MethodID_DataProcessing,N/A,N/A,DIC_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,NPOC_T_DP_005,TN_T_DP_005,TSS_T_DP_000,ICR_T_DP_003,N/A
Analysis_DetectionLimit,-9999,-9999,0.189-0.152,0.085-0.0229,0.0264-0.165,0.0304-0.0873,0.221-0.439,0.000959-0.0172,0.0155,0.112-0.0795,0.0355-0.0838,0.00605-0.0066,-9999,0.13-0.809,0.017-0.0226,0.00426-0.0407,0.076-0.092,0.014-0.014,1,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,RC2_0007-1,Liquid>aqueous,4.13,-9999,Bromide_0.0672_ppm_Below_0.07_ppm,6.72,0.58,0.03,-9999,0.65,0.52,-9999,-9999,0.24,1.74,1.96,0.87,0.14,510,See_FTICR_folder,DICDILU_001;DTL_000;Br_BLC_000;Ca_BLC_000;Na_BLC_000;SO4_BLC_000;TSS_001
N/A,RC2_0008-1,Liquid>aqueous,6.36,-9999,Bromide_0.00269_ppm_Below_LOD_0.026_ppm,12.9,3.36,0.07,Lithium_0.01_ppm_Below_LOD_0.016_ppm,4.27,1.52,-9999,-9999,1.21,6.06,4.66,1.75,0.16,507,See_FTICR_folder,Cl_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Na_CV_030;SO4_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000;Na_BLC_000;SO4_BLC_000;TSS_001
N/A,RC2_0009-1,Liquid>aqueous,6.86,-9999,Bromide_0.0749_ppm_Below_LOD_0.026_ppm,7.74,1.35,0.04,Lithium_0.0101_ppm_Below_LOD_0.016_ppm,1.47,0.08,-9999,-9999,0.57,3.25,2.37,1.48,TN_0.066_ppm_Below_0.1_ppm,494,See_FTICR_folder,Br_BLC_000;DTL_000;Ca_BLC_000;Na_BLC_000;SO4_BLC_000;DTL_000;TSS_001
N/A,RC2_0010-1,Liquid>aqueous,9.85,-9999,Bromide_0.0728_ppm_Below_LOD_0.026_ppm,9.93,2.42,0.05,Lithium_0.01_ppm_Below_LOD_0.016_ppm,3.11,0.61,-9999,-9999,0.79,4.27,2.77,1.58,0.2,362,See_FTICR_folder,F_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000;Na_BLC_000;SO4_BLC_000;TSS_001
N/A,RC2_0011-1,Liquid>aqueous,10.3,-9999,Bromide_0.0783_ppm_Below_LOD_0.026_ppm,7,0.64,0.04,Lithium_0.0099_ppm_Below_LOD_0.016_ppm,1.17,0.56,-9999,-9999,0.48,3.54,1.14,1.89,0.37,518,See_FTICR_folder,DICDILU_001;Cl_CV_030;F_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000;Na_BLC_000;SO4_BLC_000;TSS_001
