Site_ID,Site_Name,Sample_Name,Field_Staff,Date,Time_Zone,Time_Arriving,Time_Leaving,Latitude,Longitude,GPS_Accuracy,Manta_Time_Turned_On,Manta_Start_Time,Manta_End_Time,Manta_Time_Turned_Off,Manta_SN,BaroTROLL_Time_Turned_On,BaroTROLL_Start_Time,BaroTroll_End_Time,BaroTroll_Time_Turned_Off,BaroTroll_SN,YSI_SN,Notes
T06,American River,RC2_0043,Stephanie_Fulton; Aaron_Pelly,6/10/2021,PST,9:42:00,11:05:00,46.977755,-121.168433,22,9:34:00,10:00,10:59,22:11,03214659L,8:00:00,9:42:00,11:05,22:00:00,801493,15K100760,Double-checked Manta start time against log file upon return from field (SFulton confirmed time was accurate). OCN vials filled to half-way mark; realized mistake (filling 3/4 full; or 30 mL; as of 6/10/21 sampling event); emptied as much as possible by shaking out; refilled to 3/4.
T05P,Little Naches at Nile,RC2_0044,Stephanie_Fulton; Aaron_Pelly,6/10/2021,PST,11:37:00,12:30:00,46.989159,-121.098501,19,9:34:00,11:48,12:22,22:11,03214659L,8:00:00,11:45:00,12:29,22:00:00,801493,15K100760,River has receded substantially since 6/3/21 (last week); approximately 12 ft of beach exposed now.
T42,Naches River Craig Road 2,RC2_0045,Stephanie_Fulton; Aaron_Pelly,6/10/2021,PST,14:05:00,15:00:00,46.728776,-120.713658,20,9:34:00,14:15,14:49,22:11,03214659L,8:00:00,14:05:00,15:00,22:00:00,801493,15K100760,"Filter clogged after 1.5 DIC samples (~160 mL). Double-check Manta ""time out of water""; time was accurate; completed by SFulton 6/11/2021."
T03,Yakima at Union Gap,RC2_0046,Stephanie_Fulton; Aaron_Pelly,6/10/2021,PST,15:46:00,17:07:00,46.53088,-120.470257,16,9:34:00,16:22,16:54,22:11,03214659L,8:00:00,16:22:00,17:06,22:00:00,801493,15K100760,Check time in water for Manta. Time was accurate compared to log file; completed by SFulton on 6/11/21.
T07,Yakima at Kiona,RC2_0048,Stephanie_Fulton; Aaron_Pelly,6/10/2021,PST,19:20:00,20:17:00,46.255247,-119.474118,19,9:34:00,19:31,20:00,22:11,03214659L,8:00:00,19:22:00,20:15,22:00:00,801493,15K100760,Moved downstream to new site near the end of parking lot. Deployed sensors just above riffle.
T06,American River,RC2_0037,Stephanie_Fulton; Lupita_Renteria,6/3/2021,PST,9:04:00,9:46:00,46.977786,-121.168401,16,8:53:00,9:10,9:39,17:55,03214659L,8:30:00,9:04:00,9:39,20:00:00,801493,15K100760,The spectrolyzer; Manta; and YSI were in a little bit before 9:10 but had to get readjusted. Barotroll scheduled for 8:30-20:00. Needed 3 sterivex filters - very turbid and high discharge.
T05P,Little Naches at Nile,RC2_0038,Stephanie_Fulton; Lupita_Renteria,6/3/2021,PST,10:00:00,10:36:00,46.989215,-121.098612,14,8:53:00,10:08,10:30,17:55,03214659L,8:30:00,10:10:00,10:35,20:00:00,801493,15K100760,Beach submerged. Used 3 sterivex filters.
T42,Naches River Craig Road 2,RC2_0039,Stephanie_Fulton; Lupita_Renteria,6/3/2021,PST,11:25:00,12:00:00,46.728756,-120.713619,14,8:53:00,11:29,11:56,17:55,03214659L,8:30:00,11:29:00,12:00,20:00:00,801493,15K100760,Used 6 sterivex filters.
T03,Yakima at Union Gap,RC2_0040,Stephanie_Fulton; Lupita_Renteria,6/3/2021,PST,12:49:00,13:41:00,46.530834,-120.470328,16,8:53:00,13:04,13:33,17:55,03214659L,8:30:00,13:04:00,13:39,20:00:00,801493,15K100760,"Sampled from the boat ramp because there were people at our normal site.
Used 5 sterivex filters."
T02,Yakima at Mabton,RC2_0041,Stephanie_Fulton; Lupita_Renteria,6/3/2021,PST,14:48:00,16:05:00,46.232013,-120.000251,16,8:53:00,15:43,15:58,17:55,03214659L,8:30:00,16:01:00,16:04,20:00:00,801493,15K100760,N/A
